1	0.303798	0.500000	0.571429	0.444444
2	0.261940	0.500000	0.400000	0.666667
3	0.374172	0.588235	0.625000	0.555556
4	0.344177	0.600000	0.545455	0.666667
5	0.376355	0.571429	0.500000	0.666667
6	0.388734	0.736842	0.700000	0.777778
7	0.376538	0.631579	0.600000	0.666667
8	0.541562	0.666667	0.833333	0.555556
9	0.670578	0.666667	0.833333	0.555556
10	0.487600	0.600000	0.545455	0.666667
11	0.408129	0.636364	0.538462	0.777778
12	0.555436	0.666667	0.666667	0.666667
13	0.601627	0.666667	0.833333	0.555556
14	0.661884	0.666667	0.833333	0.555556
15	0.485701	0.666667	0.666667	0.666667
16	0.748495	0.666667	0.833333	0.555556
17	0.672919	0.705882	0.750000	0.666667
18	0.576808	0.666667	0.666667	0.666667
19	0.775633	0.714286	1.000000	0.555556
20	0.706178	0.666667	0.833333	0.555556
