# epoch	set	loss	f1	precision	recall	roc_auc
1	train	1.242571	0.786115	0.847222	0.763566	0.849878
1	val	0.325147	0.556558	0.692029	0.547491	0.901434
2	train	1.012052	0.810268	0.852293	0.792163	0.846265
2	val	0.239494	0.569697	0.942857	0.555556	0.913978
3	train	0.819896	0.818460	0.863457	0.796284	0.902934
3	val	0.165431	0.888189	0.976923	0.833333	0.862007
4	train	0.668023	0.875845	0.909140	0.854421	0.912059
4	val	0.160007	0.809140	0.809140	0.809140	0.872760
5	train	0.662765	0.857778	0.883677	0.841595	0.921114
5	val	0.133912	0.859127	0.905134	0.825269	0.804659
6	train	0.634199	0.842124	0.875454	0.824346	0.912432
6	val	0.119712	0.859127	0.905134	0.825269	0.888889
7	train	0.679596	0.821325	0.874132	0.799629	0.888524
7	val	0.109545	0.859127	0.905134	0.825269	0.906810
8	train	0.549209	0.837565	0.875180	0.818122	0.906246
8	val	0.097279	0.859127	0.905134	0.825269	0.928315
9	train	0.436269	0.880820	0.921868	0.858557	0.933378
9	val	0.088822	0.859127	0.905134	0.825269	0.921147
10	train	0.521546	0.842588	0.872224	0.825952	0.919473
10	val	0.098859	0.859127	0.905134	0.825269	0.951613
11	train	0.443037	0.881770	0.909156	0.863873	0.934852
11	val	0.084942	0.888189	0.976923	0.833333	0.955197
12	train	0.502879	0.864413	0.897844	0.845781	0.909788
12	val	0.094542	0.859127	0.905134	0.825269	0.953405
13	train	0.468249	0.870312	0.895442	0.853305	0.932697
13	val	0.090882	0.888189	0.976923	0.833333	0.940860
14	train	0.493728	0.850445	0.887695	0.829411	0.921199
14	val	0.084748	0.859127	0.905134	0.825269	0.965950
15	train	0.466378	0.869418	0.900717	0.849681	0.933403
15	val	0.083731	0.859127	0.905134	0.825269	0.962366
16	train	0.419077	0.884608	0.917428	0.863739	0.937925
16	val	0.092299	0.859127	0.905134	0.825269	0.953405
17	train	0.369280	0.892842	0.922417	0.874199	0.958600
17	val	0.081545	0.888189	0.976923	0.833333	0.967742
18	train	0.429752	0.880193	0.903094	0.864074	0.927779
18	val	0.097530	0.832941	0.851190	0.817204	0.960573
19	train	0.462902	0.866078	0.885853	0.851932	0.937528
19	val	0.095273	0.859127	0.905134	0.825269	0.922939
20	train	0.386917	0.882511	0.897477	0.870479	0.944342
20	val	0.096052	0.832941	0.851190	0.817204	0.960573
